,geometry,value
81,"LINESTRING (-122.2849148 37.8096004, -122.2849192 37.809725, -122.284808 37.8100316, -122.2845245 37.8108131, -122.2842354 37.8115992, -122.284052 37.8120979)",1
82,"LINESTRING (-122.2811918 37.8200293, -122.2801146 37.8197854)",1
83,"LINESTRING (-122.2811918 37.8200293, -122.2817663 37.8184911)",1
84,"LINESTRING (-122.2811918 37.8200293, -122.2815643 37.8201141, -122.2816995 37.8201453, -122.2821338 37.8202437, -122.2822724 37.8202807)",1
85,"LINESTRING (-122.2811918 37.8200293, -122.2809792 37.820612, -122.2807228 37.8213147, -122.2805549 37.8217749)",1
86,"LINESTRING (-122.28 37.82353281826985, -122.2803893 37.8236243, -122.2808893 37.8237418, -122.2810069 37.8237694)",1
87,"LINESTRING (-122.28 37.82330542927136, -122.280243 37.8226297, -122.2802647 37.8225702, -122.2805549 37.8217749)",1
88,"LINESTRING (-122.2855594 37.807854, -122.284501 37.8076122)",1
89,"LINESTRING (-122.2855594 37.807854, -122.2858219 37.8071579, -122.2861157 37.8063788)",1
90,"LINESTRING (-122.2855594 37.807854, -122.2862121 37.8080021, -122.2865562 37.8080802, -122.2866762 37.8081074)",1
91,"LINESTRING (-122.2930497 37.8069025, -122.2942879 37.8071765)",1
92,"LINESTRING (-122.2930497 37.8069025, -122.2932259 37.8062548, -122.2932456 37.8061758, -122.2932816 37.8060767)",1
93,"LINESTRING (-122.2995085 37.8089334, -122.300788 37.8095784)",1
94,"LINESTRING (-122.2995085 37.8089334, -122.2988927 37.8097027)",1
95,"LINESTRING (-122.2995085 37.8089334, -122.3000554 37.8082502, -122.3001204 37.808169)",1
96,"LINESTRING (-122.300788 37.8095784, -122.3014477 37.8099109)",1
97,"LINESTRING (-122.300788 37.8095784, -122.2995085 37.8089334)",1
98,"LINESTRING (-122.300788 37.8095784, -122.3001721 37.8103439)",1
99,"LINESTRING (-122.300788 37.8095784, -122.3014029 37.808815)",1
100,"LINESTRING (-122.3014477 37.8099109, -122.3020872 37.8102333)",1
101,"LINESTRING (-122.3014477 37.8099109, -122.300788 37.8095784)",1
102,"LINESTRING (-122.3014477 37.8099109, -122.3020345 37.8091739)",1
103,"LINESTRING (-122.28 37.80091453349067, -122.2800923 37.8009503, -122.2804923 37.8011028, -122.280592 37.8011408)",1
104,"LINESTRING (-122.2873377 37.8214342, -122.2861465 37.8211602)",1
105,"LINESTRING (-122.2873377 37.8214342, -122.2874271 37.8217166, -122.2875398 37.8220684, -122.2876194 37.8223135, -122.2876945 37.8225508, -122.2877696 37.8227839, -122.2879359 37.823251, -122.2884754702823 37.825)",1
106,"LINESTRING (-122.2873377 37.8214342, -122.2879734 37.8215783, -122.2882742 37.8216442, -122.2885608 37.8217118, -122.2887586 37.8217583, -122.2888301 37.8217751)",1
107,"LINESTRING (-122.2850078 37.8221091, -122.2850125 37.8220954, -122.2850838 37.8218891, -122.2851213 37.8217812, -122.2853955 37.8209872)",1
108,"LINESTRING (-122.2850078 37.8221091, -122.2848609 37.8223581, -122.2847609 37.8226429, -122.2847335 37.8227253)",1
109,"LINESTRING (-122.2810069 37.8237694, -122.2811243 37.8237947, -122.2820973 37.8240082)",1
110,"LINESTRING (-122.2810069 37.8237694, -122.2808893 37.8237418, -122.2803893 37.8236243, -122.28 37.82353281826985)",1
111,"LINESTRING (-122.2810069 37.8237694, -122.2810332 37.823697, -122.2810461 37.8236616, -122.281087 37.823549, -122.2812079 37.8232165, -122.281323 37.8228999, -122.2814833 37.8224575, -122.2816122 37.8221038, -122.2816425 37.8220207)",1
112,"LINESTRING (-122.2810069 37.8237694, -122.280985 37.8238299, -122.2807773 37.8244052, -122.2805619814277 37.825)",1
113,"LINESTRING (-122.2816425 37.8220207, -122.2827256 37.8222683)",1
